2025-11-11 10:01:12 | INFO | 🚀 MQTT Broker เริ่มทำงานแล้ว!
2025-11-11 10:01:12 | INFO | 📍 รอรับการเชื่อมต่อที่ localhost:1883
2025-11-11 10:01:42 | INFO | 📊 ===== สถิติ MQTT Broker =====
2025-11-11 10:01:42 | INFO | 🕒 เวลาทำงาน: 0:00:30.001359
2025-11-11 10:01:42 | INFO | 🔗 การเชื่อมต่อทั้งหมด: 0
2025-11-11 10:01:42 | INFO | 🟢 การเชื่อมต่อปัจจุบัน: 0
2025-11-11 10:01:42 | INFO | 📨 ข้อความทั้งหมด: 0
2025-11-11 10:01:42 | INFO | 📥 subscription ทั้งหมด: 0
2025-11-11 10:01:42 | INFO | 📂 Topic ที่มีการใช้งาน: 0
2025-11-11 10:01:42 | INFO | 💾 ข้อความที่เก็บไว้: 0
2025-11-11 10:01:42 | INFO | ================================
2025-11-11 10:02:12 | INFO | 📊 ===== สถิติ MQTT Broker =====
2025-11-11 10:02:12 | INFO | 🕒 เวลาทำงาน: 0:01:00.019894
2025-11-11 10:02:12 | INFO | 🔗 การเชื่อมต่อทั้งหมด: 0
2025-11-11 10:02:12 | INFO | 🟢 การเชื่อมต่อปัจจุบัน: 0
2025-11-11 10:02:12 | INFO | 📨 ข้อความทั้งหมด: 0
2025-11-11 10:02:12 | INFO | 📥 subscription ทั้งหมด: 0
2025-11-11 10:02:12 | INFO | 📂 Topic ที่มีการใช้งาน: 0
2025-11-11 10:02:12 | INFO | 💾 ข้อความที่เก็บไว้: 0
2025-11-11 10:02:12 | INFO | ================================
2025-11-11 10:02:42 | INFO | 📊 ===== สถิติ MQTT Broker =====
2025-11-11 10:02:42 | INFO | 🕒 เวลาทำงาน: 0:01:30.022508
2025-11-11 10:02:42 | INFO | 🔗 การเชื่อมต่อทั้งหมด: 0
2025-11-11 10:02:42 | INFO | 🟢 การเชื่อมต่อปัจจุบัน: 0
2025-11-11 10:02:42 | INFO | 📨 ข้อความทั้งหมด: 0
2025-11-11 10:02:42 | INFO | 📥 subscription ทั้งหมด: 0
2025-11-11 10:02:42 | INFO | 📂 Topic ที่มีการใช้งาน: 0
2025-11-11 10:02:42 | INFO | 💾 ข้อความที่เก็บไว้: 0
2025-11-11 10:02:42 | INFO | ================================
2025-11-11 10:03:12 | INFO | 📊 ===== สถิติ MQTT Broker =====
2025-11-11 10:03:12 | INFO | 🕒 เวลาทำงาน: 0:02:00.026987
2025-11-11 10:03:12 | INFO | 🔗 การเชื่อมต่อทั้งหมด: 0
2025-11-11 10:03:12 | INFO | 🟢 การเชื่อมต่อปัจจุบัน: 0
2025-11-11 10:03:12 | INFO | 📨 ข้อความทั้งหมด: 0
2025-11-11 10:03:12 | INFO | 📥 subscription ทั้งหมด: 0
2025-11-11 10:03:12 | INFO | 📂 Topic ที่มีการใช้งาน: 0
2025-11-11 10:03:12 | INFO | 💾 ข้อความที่เก็บไว้: 0
2025-11-11 10:03:12 | INFO | ================================
2025-11-11 10:03:42 | INFO | 📊 ===== สถิติ MQTT Broker =====
2025-11-11 10:03:42 | INFO | 🕒 เวลาทำงาน: 0:02:30.053647
2025-11-11 10:03:42 | INFO | 🔗 การเชื่อมต่อทั้งหมด: 0
2025-11-11 10:03:42 | INFO | 🟢 การเชื่อมต่อปัจจุบัน: 0
2025-11-11 10:03:42 | INFO | 📨 ข้อความทั้งหมด: 0
2025-11-11 10:03:42 | INFO | 📥 subscription ทั้งหมด: 0
2025-11-11 10:03:42 | INFO | 📂 Topic ที่มีการใช้งาน: 0
2025-11-11 10:03:42 | INFO | 💾 ข้อความที่เก็บไว้: 0
2025-11-11 10:03:42 | INFO | ================================
2025-11-11 10:04:12 | INFO | 📊 ===== สถิติ MQTT Broker =====
2025-11-11 10:04:12 | INFO | 🕒 เวลาทำงาน: 0:03:00.090700
2025-11-11 10:04:12 | INFO | 🔗 การเชื่อมต่อทั้งหมด: 0
2025-11-11 10:04:12 | INFO | 🟢 การเชื่อมต่อปัจจุบัน: 0
2025-11-11 10:04:12 | INFO | 📨 ข้อความทั้งหมด: 0
